grid,date,tag_left,tag_right,poop_id,poop_time,comments,id,obs,locx,locy,weight,trapping_id,squirrel_id
SU,2011-04-27,F7053,F7054,C0801,1016,NA,2266,LBD,18.0,4.0,241,102864,11944
SU,2011-04-27,F7053,F7054,C0801,1016,NA,2266,LBD,18.0,4.0,241,102865,11944
SU,2011-05-31,F8384,F8385,C0804,937,NA,2268,LBD,14.5,11.0,225,104027,12435
SU,2011-05-31,F8384,F8385,C0804,937,NA,2268,LBD,14.5,11.0,225,104028,12435
SU,2011-06-07,F6503,F6559,C0811,1041,NA,2274,LBD,16.0,3.0,215,104267,11722
SU,2011-06-07,F6503,F6559,C0811,1041,NA,2274,LBD,16.0,3.0,215,104268,11722
SU,2011-06-02,H1090,H1091,C0817,957,NA,2278,LBD,-3.5,16.0,215,104161,13094
SU,2011-06-02,H1090,H1091,C0817,957,NA,2278,LBD,-3.5,16.0,215,104162,13094
SU,2011-06-02,H0181,H0182,C0818,905,Released,2279,LBD,-2.0,4.0,0,104157,12747
SU,2011-06-02,H0181,H0182,C0818,905,Released,2279,LBD,-2.0,4.0,0,104158,12747
SU,2011-05-09,F7178,F7181,C0823,1032,NA,2283,LBD,5.0,11.5,222,103287,11998
SU,2011-05-09,F7178,F7181,C0823,1032,NA,2283,LBD,5.0,11.5,222,103288,11998
SU,2011-05-04,F7178,F7181,C0830,943,Rattled at E11.,2287,LBD,6.5,12.0,241,103119,11998
SU,2011-05-04,F7178,F7181,C0830,943,Rattled at E11.,2287,LBD,6.5,12.0,241,103120,11998
SU,2011-06-02,H0179,H0180,C0832,934,Released,2289,LBD,-3.0,6.0,0,104155,12746
SU,2011-06-02,H0179,H0180,C0832,934,Released,2289,LBD,-3.0,6.0,0,104156,12746
SU,2011-05-28,H1088,H1089,C0833,1028,NA,2290,LBD,10.0,7.5,160,103878,13093
SU,2011-05-28,H1088,H1089,C0833,1028,NA,2290,LBD,10.0,7.5,160,103879,13093
SU,2011-05-22,F8382,F8383,C0849,1008,P8. Midden,2298,LBD,16.0,8.5,220,103674,12434
SU,2011-05-22,F8382,F8383,C0849,1008,P8. Midden,2298,LBD,16.0,8.5,220,103675,12434
SU,2011-06-07,F8488,F8489,C0851,907,NA,2299,LBD,21.0,5.5,215,104281,12478
SU,2011-06-07,F8488,F8489,C0851,907,NA,2299,LBD,21.0,5.5,215,104282,12478
SU,2011-06-07,F8384,F8385,C0853,946,NA,2301,LBD,14.5,11.0,223,104277,12435
SU,2011-06-07,F8384,F8385,C0853,946,NA,2301,LBD,14.5,11.0,223,104278,12435
SU,2011-05-31,F8382,F8383,C0880,920,Released,2319,LBD,17.5,9.0,0,104025,12434
SU,2011-05-31,F8382,F8383,C0880,920,Released,2319,LBD,17.5,9.0,0,104026,12434
SU,2011-05-31,F8589,F8590,C0888,1006,NA,2325,LBD,8.5,9.5,225,104031,12524
SU,2011-05-31,F8589,F8590,C0888,1006,NA,2325,LBD,8.5,9.5,225,104032,12524
SU,2011-05-09,F7262,F7263,C0903,1016,NA,2335,LBD,3.0,12.0,225,103293,12029
SU,2011-05-09,F7262,F7263,C0903,1016,NA,2335,LBD,3.0,12.0,225,103294,12029
SU,2011-05-28,F7057,F7058,C0910,927,NA,2341,LBD,20.0,6.0,231,103866,11946
SU,2011-05-28,F7057,F7058,C0910,927,NA,2341,LBD,20.0,6.0,231,103867,11946
SU,2011-06-02,H1099,H1100,C0916,951,Released,2347,LBD,-3.5,16.5,0,104163,11448
SU,2011-06-02,H1099,H1100,C0916,951,Released,2347,LBD,-3.5,16.5,0,104164,11448
SU,2011-04-25,F7177,F5610,C0924,1124,0,2351,LBD,1.0,19.0,220,102778,11997
SU,2011-04-25,F7177,F5610,C0924,1124,0,2351,LBD,1.0,19.0,220,102779,11997
SU,2011-04-05,F7255,F7256,C0936,1049,NA,2355,KEV,14.0,7.5,258,102016,12026
SU,2011-04-05,F7255,F7256,C0936,1049,NA,2355,KEV,14.0,7.5,258,102017,12026
SU,2011-05-25,F7255,F7256,C0946,951,RELEASED,2360,LBD,14.0,7.5,0,103773,12026
SU,2011-05-25,F7255,F7256,C0946,951,RELEASED,2360,LBD,14.0,7.5,0,103774,12026
SU,2011-03-27,F0430,F0431,C0947,1142,NA,2361,LBD,4.0,9.0,260,101564,10358
SU,2011-03-27,F0430,F0431,C0947,1142,NA,2361,LBD,4.0,9.0,260,101565,10358
SU,2011-05-01,F8593,F8594,C0956,1102,NA,2366,LBD,7.0,9.5,248,103019,12526
SU,2011-05-01,F8593,F8594,C0956,1102,NA,2366,LBD,7.0,9.5,248,103020,12526
SU,2011-05-30,H0503,H0504,C0959,1026,NA,2368,LBD,-2.0,4.0,160,103964,12865
SU,2011-05-30,H0503,H0504,C0959,1026,NA,2368,LBD,-2.0,4.0,160,103965,12865
SU,2011-04-18,F8382,F8383,C0972,1122,NA,2376,LBD,17.0,9.0,220,102410,12434
SU,2011-04-18,F8382,F8383,C0972,1122,NA,2376,LBD,17.0,9.0,220,102411,12434
SU,2011-05-09,F7188,F5020,C0985,1114,NA,2383,LBD,4.5,2.5,230,103291,12003
SU,2011-05-09,F7188,F5020,C0985,1114,NA,2383,LBD,4.5,2.5,230,103292,12003
SU,2011-05-08,F5312,F5313,C0988,917,NA,2385,LBD,21.5,3.0,237,103232,11313
SU,2011-05-08,F5312,F5313,C0988,917,NA,2385,LBD,21.5,3.0,237,103233,11313
SU,2011-04-22,F7132,F5482,C0992,957,Released,2388,LBD,2.0,1.5,0,102690,11976
SU,2011-04-22,F7132,F5482,C0992,957,Released,2388,LBD,2.0,1.5,0,102691,11976
SU,2011-04-25,F3409,F3410,C1204,1053,NA,2398,LBD,3.0,18.0,241,102776,10918
SU,2011-04-25,F3409,F3410,C1204,1053,NA,2398,LBD,3.0,18.0,241,102777,10918
SU,2011-06-17,F7188,F5020,C1212,928,Gain weight,2405,LBD,4.5,2.5,235,104633,12003
SU,2011-06-17,F7188,F5020,C1212,928,Gain weight,2405,LBD,4.5,2.5,235,104634,12003
SU,2011-06-20,F8517,H1085,C1235,1029,Lost¿,2420,LBD,7.5,16.0,245,104675,12492
SU,2011-06-20,F8517,H1085,C1235,1029,Lost¿,2420,LBD,7.5,16.0,245,104676,12492
SU,2011-06-07,F8382,F8383,C1238,920,NA,2423,LBD,18.0,11.0,230,104275,12434
SU,2011-06-07,F8382,F8383,C1238,920,NA,2423,LBD,18.0,11.0,230,104276,12434
SU,2011-06-04,F7053,F7054,C1241,1005,NA,2425,LBD,18.0,4.0,247,104199,11944
SU,2011-06-04,F7053,F7054,C1241,1005,NA,2425,LBD,18.0,4.0,247,104200,11944
SU,2011-06-04,F7132,F5482,C1242,1147,NA,2426,LBD,2.5,1.0,235,104203,11976
SU,2011-06-04,F7132,F5482,C1242,1147,NA,2426,LBD,2.5,1.0,235,104204,11976
SU,2011-06-04,F8382,F8383,C1243,1058,Released,2427,LBD,17.5,9.5,0,104207,12434
SU,2011-06-04,F8382,F8383,C1243,1058,Released,2427,LBD,17.5,9.5,0,104208,12434
SU,2011-06-04,F7255,F7256,C1244,950,Released,2428,LBD,14.0,7.5,0,104205,12026
SU,2011-06-04,F7255,F7256,C1244,950,Released,2428,LBD,14.0,7.5,0,104206,12026
SU,2011-05-31,F3497,F3498,C1259,1117,NA,2438,LBD,-5.0,5.0,226,104013,10946
SU,2011-05-31,F3497,F3498,C1259,1117,NA,2438,LBD,-5.0,5.0,226,104014,10946
SU,2011-05-09,F6144,F6145,C1261,1136,NA,2439,LBD,2.5,8.5,240,103284,11577
SU,2011-05-09,F6144,F6145,C1261,1136,NA,2439,LBD,2.5,8.5,240,103285,11577
SU,2011-05-03,F7255,F7256,C1263,1107,NA,2440,LBD,14.0,7.5,215,103081,12026
SU,2011-05-03,F7255,F7256,C1263,1107,NA,2440,LBD,14.0,7.5,215,103082,12026
SU,2011-08-09,F8486,F8487,C1266,1037,NA,2442,LBD,17.0,11.0,235,106811,12477
SU,2011-08-09,F8486,F8487,C1266,1037,NA,2442,LBD,17.0,11.0,235,106812,12477
SU,2011-08-09,H1092,H1093,C1274,1603,NA,2447,LBD,-1.0,17.0,245,106817,13095
SU,2011-08-09,H1092,H1093,C1274,1603,NA,2447,LBD,-1.0,17.0,245,106818,13095
SU,2011-05-28,F8382,F8383,C1277,938,NA,2448,LBD,17.0,9.0,220,103874,12434
SU,2011-05-28,F8382,F8383,C1277,938,NA,2448,LBD,17.0,9.0,220,103875,12434
SU,2011-05-05,F8384,F8385,C1279,951,NA,2450,LBD,14.5,11.0,230,103169,12435
SU,2011-05-05,F8384,F8385,C1279,951,NA,2450,LBD,14.5,11.0,230,103170,12435
SU,2011-05-09,F2144,F7179,C1280,916,NA,2451,LBD,5.5,1.5,220,103280,10654
SU,2011-05-09,F2144,F7179,C1280,916,NA,2451,LBD,5.5,1.5,220,103281,10654
SU,2011-05-29,F8517,H1085,C1286,1118,NA,2455,LBD,7.5,16.0,257,103923,12492
SU,2011-05-29,F8517,H1085,C1286,1118,NA,2455,LBD,7.5,16.0,257,103924,12492
SU,2011-04-29,F7132,F5482,C1292,1037,colar not on when weighted,2458,LBD,2.5,1.0,255,102958,11976
SU,2011-04-29,F7132,F5482,C1292,1037,colar not on when weighted,2458,LBD,2.5,1.0,255,102959,11976
SU,2011-05-06,F3409,F3410,C1295,955,NA,2460,LBD,2.5,18.0,250,103194,10918
SU,2011-05-06,F3409,F3410,C1295,955,NA,2460,LBD,2.5,18.0,250,103195,10918
SU,2011-05-31,F8024,F8025,C1299,1028,NA,2462,LBD,6.5,16.0,230,104021,12301
SU,2011-05-31,F8024,F8025,C1299,1028,NA,2462,LBD,6.5,16.0,230,104022,12301
SU,2011-05-23,F8486,F8487,C1300,933,RELEASED,2463,LBD,18.0,11.0,0,103711,12477
SU,2011-05-23,F8486,F8487,C1300,933,RELEASED,2463,LBD,18.0,11.0,0,103712,12477
SU,2011-06-04,H1195,H1196,C1319,1653,NA,2474,LBD,18.0,11.0,170,104211,13135
SU,2011-06-04,H1195,H1196,C1319,1653,NA,2474,LBD,18.0,11.0,170,104212,13135
SU,2011-05-03,F7071,F7072,C1333,1141,Released caught earlier,2481,LBD,16.0,1.0,0,103075,11953
SU,2011-05-03,F7071,F7072,C1333,1141,Released caught earlier,2481,LBD,16.0,1.0,0,103076,11953
SU,2011-05-03,F7071,F7072,C1333,1141,Released caught earlier,2481,LBD,16.0,1.0,0,103077,11953
SU,2011-05-03,F7071,F7072,C1333,1141,Released caught earlier,2481,LBD,16.0,1.0,0,103078,11953
SU,2011-05-04,F7132,F5482,C1345,1044,NA,2492,LBD,3.5,4.0,252,103117,11976
SU,2011-05-04,F7132,F5482,C1345,1044,NA,2492,LBD,3.5,4.0,252,103118,11976
SU,2011-04-29,F7266,F7267,C1347,945,NA,2494,LBB,21.0,5.5,240,102963,12031
SU,2011-04-29,F7266,F7267,C1347,945,NA,2494,LBB,21.0,5.5,240,102964,12031
SU,2011-08-09,F7182,F7192,C1366,1506,NA,2508,LBD,8.5,12.0,250,106791,12e3
SU,2011-08-09,F7182,F7192,C1366,1506,NA,2508,LBD,8.5,12.0,250,106792,12e3
SU,2011-05-31,H1086,H1087,C1369,1123,Released,2510,LBD,-3.0,6.0,0,104037,13092
SU,2011-05-31,H1086,H1087,C1369,1123,Released,2510,LBD,-3.0,6.0,0,104038,13092
SU,2011-08-09,F8024,F8025,C1387,1657,NA,2523,LBD,6.5,16.0,235,106803,12301
SU,2011-08-09,F8024,F8025,C1387,1657,NA,2523,LBD,6.5,16.0,235,106804,12301
SU,2011-05-01,F7178,F7181,C1389,1145,Rattle at E11?,2525,LBD,5.0,11.5,220,103013,11998
SU,2011-05-01,F7178,F7181,C1389,1145,Rattle at E11?,2525,LBD,5.0,11.5,220,103014,11998
SU,2011-05-26,H1099,H1100,C1399,NA,collar:1,2532,LBD,-3.0,15.5,232,103825,11448
SU,2011-05-26,H1099,H1100,C1399,NA,collar:1,2532,LBD,-3.0,15.5,232,103826,11448
SU,2011-04-29,F6144,F6145,C1404,1143,colar not on when weighted,2534,LBD,2.5,8.5,240,102956,11577
SU,2011-04-29,F6144,F6145,C1404,1143,colar not on when weighted,2534,LBD,2.5,8.5,240,102957,11577
SU,2011-05-05,F8378,F8379,C1419,836,NA,2543,LBD,15.0,11.0,235,103167,12432
SU,2011-05-05,F8378,F8379,C1419,836,NA,2543,LBD,15.0,11.0,235,103168,12432
SU,2011-06-07,F7255,F7256,C1440,1029,NA,2557,LBD,14.0,7.5,231,104271,12026
SU,2011-06-07,F7255,F7256,C1440,1029,NA,2557,LBD,14.0,7.5,231,104272,12026
SU,2011-05-06,F7177,F5610,C1448,1137,NA,2560,LBD,1.0,19.0,241,103196,11997
SU,2011-05-06,F7177,F5610,C1448,1137,NA,2560,LBD,1.0,19.0,241,103197,11997
SU,2011-08-09,F8382,F8383,C1459,1019,NA,2564,LBD,17.0,9.0,240,106807,12434
SU,2011-08-09,F8382,F8383,C1459,1019,NA,2564,LBD,17.0,9.0,240,106808,12434
SU,2011-05-03,F3842,F3843,C1465,1100,NA,2569,LBD,14.0,7.5,245,103069,11084
SU,2011-05-03,F3842,F3843,C1465,1100,NA,2569,LBD,14.0,7.5,245,103070,11084
SU,2011-05-04,F6144,F6145,C1471,1033,Really bad neck,2573,LBD,2.5,9.5,232,103115,11577
SU,2011-05-04,F6144,F6145,C1471,1033,Really bad neck,2573,LBD,2.5,9.5,232,103116,11577
SU,2011-05-08,F3842,F3843,C1490,940,NA,2581,LBD,20.0,6.0,255,103230,11084
SU,2011-05-08,F3842,F3843,C1490,940,NA,2581,LBD,20.0,6.0,255,103231,11084
SU,2011-05-01,F8024,F8025,C1493,1037,NA,2583,LBD,6.5,16.0,230,103015,12301
SU,2011-05-01,F8024,F8025,C1493,1037,NA,2583,LBD,6.5,16.0,230,103016,12301
SU,2011-05-30,F6142,F6143,C1500,1110,NA,2588,LBD,9.0,1.0,235,103961,11576
SU,2011-05-30,F6142,F6143,C1500,1110,NA,2588,LBD,9.0,1.0,235,103962,11576
SU,2011-06-02,H1086,H1087,C1506,928,Released,2592,LBD,-3.0,6.0,0,104159,13092
SU,2011-06-02,H1086,H1087,C1506,928,Released,2592,LBD,-3.0,6.0,0,104160,13092
SU,2011-05-22,F7053,F7054,C1512,1129,NA,2595,LBD,18.0,4.0,242,103668,11944
SU,2011-05-22,F7053,F7054,C1512,1129,NA,2595,LBD,18.0,4.0,242,103669,11944
SU,2011-05-26,H0765,H0766,C1513,1115,NA,2596,LBD,2.0,17.0,145,103817,12973
SU,2011-05-26,H0765,H0766,C1513,1115,NA,2596,LBD,2.0,17.0,145,103818,12973
SU,2011-05-31,F8517,H1085,C1523,1023,NA,2604,LBD,7.5,16.0,256,104029,12492
SU,2011-05-31,F8517,H1085,C1523,1023,NA,2604,LBD,7.5,16.0,256,104030,12492
SU,2011-05-24,F7255,F7256,C1547,940,Released,2625,LBD,14.0,8.0,0,103740,12026
SU,2011-05-24,F7255,F7256,C1547,940,Released,2625,LBD,14.0,8.0,0,103741,12026
SU,2011-05-22,F8486,F8487,C1567,947,NA,2641,LBD,18.0,11.0,240,103676,12477
SU,2011-05-22,F8486,F8487,C1567,947,NA,2641,LBD,18.0,11.0,240,103677,12477
SU,2011-05-13,F8486,F8487,C1578,1028,NA,2651,LBD,18.0,11.0,240,103403,12477
SU,2011-05-13,F8486,F8487,C1578,1028,NA,2651,LBD,18.0,11.0,240,103404,12477
SU,2011-05-19,F7071,F7072,C1579,1052,Escaped,2652,LBD,15.0,2.5,225,103571,11953
SU,2011-05-19,F7071,F7072,C1579,1052,Escaped,2652,LBD,15.0,2.5,225,103572,11953
SU,2011-05-13,F3842,F3843,C1580,1043,NA,2653,LBD,14.0,7.5,265,103395,11084
SU,2011-05-13,F3842,F3843,C1580,1043,NA,2653,LBD,14.0,7.5,265,103396,11084
SU,2011-06-20,H1086,H1087,C1603,1131,NA,2670,LBD,-3.0,6.0,200,104681,13092
SU,2011-06-20,H1086,H1087,C1603,1131,NA,2670,LBD,-3.0,6.0,200,104682,13092
SU,2011-05-29,F3497,F3498,C1604,941,NA,2671,LBD,-3.5,3.0,230,103913,10946
SU,2011-05-29,F3497,F3498,C1604,941,NA,2671,LBD,-3.5,3.0,230,103914,10946
SU,2011-05-29,F3497,F3498,C1604,941,NA,2671,LBD,-3.5,3.0,230,103915,10946
SU,2011-05-29,F3497,F3498,C1604,941,NA,2671,LBD,-3.5,3.0,230,103916,10946
SU,2011-05-28,F7255,F7256,C1617,952,Released,2682,LBD,14.0,7.5,0,103870,12026
SU,2011-05-28,F7255,F7256,C1617,952,Released,2682,LBD,14.0,7.5,0,103871,12026
SU,2011-05-13,F7051,F7052,C1623,1114,NA,2687,LBD,21.0,1.0,217,103397,11943
SU,2011-05-13,F7051,F7052,C1623,1114,NA,2687,LBD,21.0,1.0,217,103398,11943
SU,2011-05-13,F7255,F7256,C1629,1050,NA,2694,LBD,14.0,7.5,220,103401,12026
SU,2011-05-13,F7255,F7256,C1629,1050,NA,2694,LBD,14.0,7.5,220,103402,12026
SU,2011-05-30,H1086,H1087,C1630,1014,NA,2695,LBD,-3.0,6.0,216,103968,13092
SU,2011-05-30,H1086,H1087,C1630,1014,NA,2695,LBD,-3.0,6.0,216,103969,13092
SU,2011-05-13,F7057,F7058,C1631,1244,NA,2696,LBD,20.0,6.0,220,103399,11946
SU,2011-05-13,F7057,F7058,C1631,1244,NA,2696,LBD,20.0,6.0,220,103400,11946
SU,2011-06-07,F8378,F8379,C1643,937,NA,2704,LBD,15.0,11.0,235,104273,12432
SU,2011-06-07,F8378,F8379,C1643,937,NA,2704,LBD,15.0,11.0,235,104274,12432
SU,2011-05-20,F6503,F6559,C1646,1122,NA,2706,LBD,17.5,3.0,225,103634,11722
SU,2011-05-20,F6503,F6559,C1646,1122,NA,2706,LBD,17.5,3.0,225,103635,11722
SU,2011-05-29,F7178,F7181,C1649,1048,NA,2709,LBD,5.0,11.5,220,103917,11998
SU,2011-05-29,F7178,F7181,C1649,1048,NA,2709,LBD,5.0,11.5,220,103918,11998
SU,2011-05-25,F6142,F6143,C1651,1101,NA,2710,LBD,5.5,5.5,240,103766,11576
SU,2011-05-25,F6142,F6143,C1651,1101,NA,2710,LBD,5.5,5.5,240,103767,11576
SU,2011-05-31,H1081,H1082,C1653,1104,NA,2712,LBD,-2.0,4.0,130,104035,13090
SU,2011-05-31,H1081,H1082,C1653,1104,NA,2712,LBD,-2.0,4.0,130,104036,13090
SU,2011-05-17,F5312,F5313,C1667,1011,NA,2723,LBD,21.0,3.0,236,103492,11313
SU,2011-05-17,F5312,F5313,C1667,1011,NA,2723,LBD,21.0,3.0,236,103493,11313
SU,2011-05-26,F3664,F3665,C1672,1011,NA,2728,LBD,6.0,12.0,155,103811,11011
SU,2011-05-26,F3664,F3665,C1672,1011,NA,2728,LBD,6.0,12.0,155,103812,11011
SU,2011-05-17,F8488,F8489,C1680,957,NA,2734,LBD,21.0,5.5,210,103500,12478
SU,2011-05-17,F8488,F8489,C1680,957,NA,2734,LBD,21.0,5.5,210,103501,12478
SU,2011-05-28,F6144,F6145,C1694,1050,NA,2744,LBD,2.5,9.5,240,103864,11577
SU,2011-05-28,F6144,F6145,C1694,1050,NA,2744,LBD,2.5,9.5,240,103865,11577
SU,2011-05-11,F7132,F5482,C1731,938,NA,2769,LBD,1.5,1.5,250,103321,11976
SU,2011-05-11,F7132,F5482,C1731,938,NA,2769,LBD,1.5,1.5,250,103322,11976
SU,2011-05-20,F7255,F7256,C1743,1054,NA,2779,LBD,14.0,7.5,220,103636,12026
SU,2011-05-20,F7255,F7256,C1743,1054,NA,2779,LBD,14.0,7.5,220,103637,12026
SU,2011-05-31,F7255,F7256,C1746,955,Released,2782,LBD,14.0,7.5,0,104019,12026
SU,2011-05-31,F7255,F7256,C1746,955,Released,2782,LBD,14.0,7.5,0,104020,12026
SU,2011-05-11,F7177,F5610,C1748,1050,NA,2784,LBD,2.0,17.0,230,103323,11997
SU,2011-05-11,F7177,F5610,C1748,1050,NA,2784,LBD,2.0,17.0,230,103324,11997
SU,2011-06-23,F8378,F8379,C1803,1034,NA,2801,LBD,15.0,11.0,230,104788,12432
SU,2011-06-23,F8378,F8379,C1803,1034,NA,2801,LBD,15.0,11.0,230,104789,12432
SU,2011-06-23,H1189,H1190,C1820,1125,Maybe U2 juv (offgrid female),2808,LBD,19.0,4.0,160,104794,13132
SU,2011-06-23,H1189,H1190,C1820,1125,Maybe U2 juv (offgrid female),2808,LBD,19.0,4.0,160,104795,13132
SU,2011-06-21,F6142,F6143,C1824,1002,NA,2811,LBD,3.5,4.0,230,104713,11576
SU,2011-06-21,F6142,F6143,C1824,1002,NA,2811,LBD,3.5,4.0,230,104714,11576
SU,2011-06-21,F3409,F3410,C1830,1028,NA,2815,LBD,2.5,18.0,240,104711,10918
SU,2011-06-21,F3409,F3410,C1830,1028,NA,2815,LBD,2.5,18.0,240,104712,10918
